Versus,Matches,WR
Ryu,509,74.26
Ken,435,73.33
Chunli,189,79.89
Cammy,164,71.95
Nash,220,73.64
Bison,265,66.24
Vega,96,57.29
Birdie,171,65.5
Karin,223,65.02
Mika,153,58.17
Zangief,217,76.04
Dhalsim,61,44.26
Rashid,91,73.63
Laura,221,68.78
FANG,68,69.12
Necalli,124,75.81
Alex,118,66.95
Guille,228,78.07
Ibuki,62,80.65
Balrog,184,61.96
Juri,87,65.52
Urien,251,65.39
Akuma,440,76.59
Kolin,115,59.13
Ed,252,73.02
Abigail,171,71.93
Menat,41,75.61
Zeku,128,78.91
Sakura,74,82.43
Blanka,172,73.84
Falke,69,87.50
Cody,137,66.42
G,134,74.63
Sagat,80,76.25
Kage,119,81.51
Poison,57,63.16
Honda,94,55.32
Lucia,109,82.57
Gill,211,67.3
Seth,97,54.64
Dan,30,76.67
Rose,59,67.80
Oro,57,87.72
Akira,69,88.41
